"Source:","/home/mikolaj/projects/MR-SLDR/hardware/MR-SLDR-01/MR-SLDR-01.kicad_sch"
"Date:","pią, 2 cze 2023, 03:15:36"
"Tool:","Eeschema 7.0.2-6a45011f42~172~ubuntu22.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","139"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","MANUFACTURER","MAXIMUM_PACKAGE_HEIGHT","PARTREV","STANDARD","Sim.Device","Sim.Pins","Sim.Type"
"1","7","Batt.meas1, TP3, TP4, TP5, TP6, TP7, TP8","TestPoint","Connector:TestPoint","TestPoint:TestPoint_THTPad_1.0x1.0mm_Drill0.5mm","~","","","","","","","",""
"2","2","C1, C19","680uF","Device:C_Polarized","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","~","","","","","","","",""
"3","15","C2, C3, C4, C5, C6, C8, C9, C10, C12, C13, C15, C21, C22, C29, C30","100nF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","",""
"4","2","C11, C14","470uF","Device:C_Polarized","Capacitor_THT:CP_Radial_D8.0mm_P3.80mm","~","","","","","","","",""
"5","1","C16","none","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","",""
"6","3","C17, C18, C23","470nF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","",""
"7","1","C20","4.7uF","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","","","","","","","",""
"8","1","C24","100uF","Device:C_Polarized","Capacitor_THT:CP_Radial_D8.0mm_P3.80mm","~","","","","","","","",""
"9","4","C25, C26, C27, C28","10nF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","",""
"10","3","D1, D2, D3","SS24","SS24:SS24","bin:DIOM5336X265N","","","ON Semiconductor","2.65 mm","1.1.2","IPC 7351B","","",""
"11","1","D4","SP0503BAHT","Power_Protection:SP0503BAHT","Package_TO_SOT_SMD:SOT-143","http://www.littelfuse.com/~/media/files/littelfuse/technical%20resources/documents/data%20sheets/sp05xxba.pdf","","","","","","","",""
"12","1","D5","10V","Device:D_Zener","Diode_SMD:D_MiniMELF","~","","","","","","","",""
"13","1","D6","BAT54S","Diode:BAT54S","Package_TO_SOT_SMD:SOT-23","https://www.diodes.com/assets/Datasheets/ds11005.pdf","","","","","","","",""
"14","1","F1","Fuse","Device:Fuse","Fuse:Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~","","","","","","","",""
"15","4","H1, H2, H3, H4","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_3.2mm_M3","~","","","","","","","",""
"16","4","J1, J8, J9, J10","Conn_01x02_Pin","Connector:Conn_01x02_Pin","Connector_Molex:Molex_SL_171971-0002_1x02_P2.54mm_Vertical","~","","","","","","","",""
"17","1","J2","Conn_01x04_Pin","Connector:Conn_01x04_Pin","Connector_Molex:Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical","~","","","","","","","",""
